image_number,day1,day2,day3,day4
1,23.82,24.26,24.26,24.22
2,23.87,24.14,24.25,24.61
3,23.90,24.20,24.13,24.21
4,23.91,24.12,24.12,23.99
5,23.83,23.74,23.92,24.02
6,23.78,23.98,23.94,23.82
7,23.74,23.87,23.80,23.93
8,23.87,23.88,23.98,23.72
9,24.10,23.74,23.36,23.65
10,23.72,23.62,23.87,23.75
11,23.58,23.25,22.83,22.82
12,23.56,23.82,23.62,23.87
13,24.32,24.21,24.20,24.07
14,23.68,23.03,22.45,22.27
15,24.06,23.24,22.89,22.44
16,23.89,23.76,23.90,24.41
